anchor,same_country_affil,diff_country_affil,same_country_cos_sim,diff_country_cos_sim
water resources and irrigation engineering,water resource and irrigation engineering,water resources and hydropower engineering,0.9939756393432617,0.922473669052124
urology service,neurology service,urology clinic,0.8900555372238159,0.8915672302246094
instituto superior de ciências da saúde,instituto superior de ciências da saúde egaz moniz,,0.9226729869842529,
ipo porto,porto architecture,portoviejo,0.8170032501220703,0.8071393370628357
dmmm,dmm,mmm,0.8704988956451416,0.9407258033752441
educational planning,educational planning and management,educator preparation,0.9357568025588989,0.7903789281845093
"metallurgical, materials and mining engineering","mining, metallurgical and materials engineering","minerals, metallurgical and materials engineering",0.9833006858825684,0.9845231175422668
stem cell biology and regenerative medicine,stem cell biology & regenerative medicine,stem cell and regenerative biotechnology,0.9967280626296997,0.9717563390731812
g2elab,gipsa-lab,idlab,0.7725796699523926,0.7693248391151428
computer science and media technology,computer science and technology,computer science and media,0.9005876779556274,0.9789344072341919
etsiaab,etsab,aib,0.9009742736816406,0.840503454208374
dcu business school,business school,ucp business school,0.8090633153915405,0.8339744806289673
global pediatric medicine,pediatrics and medicine,medical pediatrics,0.8403547406196594,0.8253904581069946
social dynamics and change,"environmental, social and spatial change",social change,0.8147691488265991,0.9196559190750122
applied clinical research,applied health research,applied medical science,0.9193317890167236,0.8721820712089539
mestrado em desenvolvimento regional,programa de mestrado em desenvolvimento regional,desarrollo regional,0.9329485893249512,0.8241891264915466
world languages,world language,english and other foreign languages,0.9522656798362732,0.8456320762634277
"modelling, evidence and policy",theory and modelling,"science, systems and models",0.7570004463195801,0.7563595771789551
research centre in digitalization and intelligent robotics,centre for artificial intelligence,centre for artificial intelligence and robotics,0.8246709108352661,0.8937926292419434
western technology and higher education,education and technology,technological education,0.8344289064407349,0.8353085517883301
cpdoc,dcp,cpme,0.8371500968933105,0.7971329092979431
centre for demographic research,center for demographic research,centre for demographic studies,0.9746745824813843,0.9716352224349976
burnet institute,power institute,energy engineering institute,0.705108642578125,0.7591458559036255
kids research institute australia,children's cancer institute australia,children's research institute,0.867759108543396,0.7529549598693848
nutrition and dietetics service,food and nutrition service,food and nutrition services,0.8880060315132141,0.892193078994751
scholarly communications,academic writing,academic communications,0.8334009647369385,0.9290590286254883
theory and biosystems,theory and bio-systems,symbiotic systems science,0.9712429642677307,0.8903414607048035
paprsb health sciences,health sciences,pra health sciences,0.8529092669487,0.8848884105682373
p.a. hertzen moscow oncology research institute,n.n. petrov oncology research institute,molecular oncology research institute,0.8034690618515015,0.7827929258346558
cataloging department,cataloging,library and documentation departments,0.8817874789237976,0.8086400032043457
construction management and real estate,construction and real estate management,real estate development and management,0.9904784560203552,0.9164069890975952
language theory and communication sciences,theory of language and communication sciences,language and communication science,0.9777514338493347,0.953845739364624
cavendish laboratory,"cavendish laboratory, physics",icvs 3b&#39;s associated laboratory,0.8909307718276978,0.7195161581039429
psychiatry & behavioural neurosciences,psychiatry and behavioural neurosciences,neuropsychiatry and behavioral sciences,0.998169481754303,0.9720929861068726
research and innovation division,division of research and innovation,science and engineering research division,0.9619758129119873,0.9096124172210693
tape,etap,dape,0.6913609504699707,0.7226852178573608
mathematics and computing science,mathematics and computer science,mathematics and scientific computing,0.9898214340209961,0.9907466173171997
corporate sustainability,sustainability governance,social and environmental sustainability,0.892343282699585,0.8277084231376648
west china basic medical sciences & forensic medicine,west china basic medical sciences and forensic medicine,chinese medicine - teaching and research division,0.9980890154838562,0.7692810297012329
"electronics, telecommunication and informatics","electronics, telecommunications and informatics",electronics and communication technology,0.9954565167427063,0.9566676020622253
counseling and personnel services,counseling & human services,"counselling, human services and social work",0.9334498643875122,0.8653739094734192
plant science division,division of plant science,plant sciences unit,0.9730932116508484,0.8974465131759644
speech pathology,speech language pathology,psychology and speech-language pathology,0.9560444951057434,0.8294550180435181
biomechanics,biomechanics and movement science,"anatomy, physiology and biochemistry",0.9107748866081238,0.8589579463005066
congress of republic of peru,autonomous region of peru,assembly of republic,0.7589594721794128,0.6464521884918213
te huataki waiora health,waikato district health board,nuaa,0.7556348443031311,0.7791871428489685
discab,disu,debasi,0.8168160915374756,0.8165422677993774
jackson geosciences,jackson geoscience,"geography and geology, geological sciences",0.9850040078163147,0.7085769176483154
ecd,oecd,utm,0.9442895650863647,0.8567953109741211
each,and,specific,0.7650203704833984,0.7618108987808228
letters / literature,letters and literature,of letters,0.9807060956954956,0.8041746616363525
gender equality,equality,"centre for gender, power and diversity",0.8200950622558594,0.661234438419342
mathematics-computer,mathematics and computer,mathematical and computer,0.9857680797576904,0.971584677696228
teaching innovation unit,teaching and learning innovation,teaching innovation center,0.8703126907348633,0.8768103122711182
ingeniero civil,ingenieria civil,"ingeniería civil, de materiales y fabricación",0.9113112688064575,0.8023090362548828
"center for demographic, urban and environmental studies",center for urban demographic and environmental,center for urban and regional studies,0.9020301103591919,0.9023857712745667
